plaintext,ciphertext,algorithm_used
QxH8gH8xCP5rtfNJPgoX1AQxQKffM4,2y478ckT11Z6WQwBkydTxBbjBgMc0uo1BI4nqLrYxBy9BGTec60rCQ==,DES
25PPYumV5DXpkg4 LwjByE8ZM3Wkau,QG9FwtLeOZDtaCf7WNWw3Z+0rFRywNw96ddddWIPXbV2H+myI2kp1StAQDle5jYZJzBbTiGxUiTb0gUPZILgTTuJX3ngE3vNbc/8pVl3PWOBLsB0oqI88nBlfPVHF1kfibRTAfuumDOTvtfFBvCTDQ/6DKM54wJHNJBCFl+AZ24pTkbr5/Z5HgfJm5aK/qzcf2Oobu3uP4/eLA77ICux6Zw0mHgNUhY1fhor52DLPnXo+JeEUxovZXXMlMZ/HG3sgVWEAcqjxBG5pvsvtN/+vJBabegiYNd+jjG+tjh9eNNdwklXM+50yP3UVlBBEBTROsZVyVJDOjNSWEDmIdTYug==,RSA
FEC8qwsLuKkRtgPiNrryCI4bKVALHn,fnRGe3tCejDb7D1EVZI1MckvCZr5SsE8Zkga4TglQJeunBoKuXTnZufW1FzOahUb,AES
oaqIB0kmxHAicEZuM3fd7eA3gWkKi6,bLTLcTwTEibmzfKvhXyN9XQtcJye8/VZ45vtl0v52bgtx5QXsY3TQw==,3DES
a4wrv1OqnOMR v8fXewgLDlvhD2aYK,ewis3BHuUUxRsVXbTnKVZ3wtN6xUuj9hsF7SvmovVR6HsrbqtteFXA==,DES
nNE rFydrn7HNwdfHpypGN82cd2WBj,gAAAAABm2a1Opu2He9w8XVkjBH4yyQiNHo_Y-XsUiSzQaPAHvepbskKgWgxymkkKdcbAZdFsv-A5VndMRlhp7U7DW9RuJbbfyP0XnnlcqS3xZsVKFwnw2Zc=,Fernet
4CE2U2eV6zyIHvEISf90MgKjum1Xaf,eBpoZDgIRMWDcdOjgA8vosbPcESzRQHDKiOCDVMlaf096unBjMFZv2Vexh+N6OV+,AES
dFBaf1W61SObqaPQ8OUUc1YARbcL81,B8syk4Q5FaeBIdsgIEAQ7m2kKZFcfoxBn24SZFTkOSghbVMQjikziQ==,DES
h9YwyeiPEyIypyhkXeVom2z0ecqfv8,kEOGwQ3Tr3UxCP79BQj1SWsZtXAefyKIbP4TDedRfcwvj19B+Mt/6dz1omExtEBBExyOdEj0FT3O7zXfq2bVvYRfoT7teu1AzFNYM2dmZR88SJQtNUBKC6TprQanO9iyX75hmlc8h4IYV05e4y7PHeIrMtUPuEXnBBxqikK7Hk7SuXDMiq7yWEXSr1OH0kzLZq/dogSgeR3J/nOUrcDQzWCCaVmsORwVr69zvWUdrKcnyGJczdZERxuyvuuzyxkkNgLjdNl2IZXBxFmxk30u8jWWDFsfmBRf0raqfMz6DElEpcffDncn2oseM1UPN1GzX5O6QF5h9o10Dezmv768yg==,RSA
pUxelDOY8RPszo2pHRVq1Cq9GyWU0K,FNZk6MLz6tV6KdJfB6XP5yqQsaAD+dCSiv1rwlDQtvbc7Gw8n5KjqCnaIo4TW74mwCH9g44zQuv4Auaxxfh3aoFbb4GReRgUjgQ2lD66px5fn8sRQNoLqLD1C2z4st+G2rzZsSFlwGUCqqHKyQ7ygdU4nxuwnBYHnEtb/CutnRQRWhgziXIL99btJEXux98PSKwXAj7qoCPAXwicmkcfoCFwJ+Khbb/RPBsL9QZhNbtp6+JRRhaVjgop7vwh4Ufypl3Bh7Bm2OjRGSmo4P1zWEi/yfxYrebIZzpBj8g/tISMRk5dwEzAXfHvk+7Saz9zKr+Vvs0ndC5dL+HjkbDbSw==,RSA
